model_id,unit_id,stratum,route,metric_m1_x,metric_m1_y,metric_m2,metric_m3,metric_m4,metric_m5,paired_anchor_error,paired_future_error,unit_pass,autonomous_transition_count
development_model_3,joint_unit_0429,S1_no_contact,matched_wrong_vector,0.2477402918810891,0.3819056511990885,0.5327748437329312,0.2433996427255283,0.04396880262185051,0.6626880262047052,0.3819056511990885,0.2433996427255283,true,12
development_model_3,joint_unit_0441,S1_no_contact,matched_wrong_vector,0.6032864930390176,0.48375080297562045,1.0122122200587877,0.4109353641678278,0.07613990533450224,10.323450714349747,0.6032864930390176,0.4109353641678278,false,12
development_model_3,joint_unit_0442,S1_no_contact,matched_wrong_vector,0.22167801190263556,0.2970142471032913,0.379710407818573,0.20646172059000004,0.03846661415197727,0.36245149094611406,0.2970142471032913,0.20646172059000004,true,12
development_model_3,joint_unit_0444,S1_no_contact,matched_wrong_vector,0.3906284956259172,0.12077364200716191,0.5648108681315516,0.22826742565921457,0.0409430339983482,2.4118592962622643,0.3906284956259172,0.22826742565921457,false,12
development_model_3,joint_unit_0445,S1_no_contact,matched_wrong_vector,0.3105657256432435,0.20903214266395584,0.5615344042954746,0.19717476046756238,0.07369485768308598,4.750893265008926,0.3105657256432435,0.19717476046756238,true,12
development_model_3,joint_unit_0446,S1_no_contact,matched_wrong_vector,0.24857703410169574,0.4928080740558887,0.5667157545950052,0.32272949352738617,0.022436898290921062,3.938482701778412,0.4928080740558887,0.32272949352738617,false,12
development_model_3,joint_unit_0447,S1_no_contact,matched_wrong_vector,0.4371938487454029,0.40048997465424807,0.6902441215173906,0.32774900937325496,0.017935766838083504,5.847057327628136,0.4371938487454029,0.32774900937325496,false,12
development_model_3,joint_unit_0448,S1_no_contact,matched_wrong_vector,0.44327420698605946,0.4398255396720786,0.7148539430567536,0.36134436700046596,0.021312990471586187,3.5363703966140747,0.44327420698605946,0.36134436700046596,false,12
development_model_3,joint_unit_0449,S1_no_contact,matched_wrong_vector,0.24519815874570397,0.27086819485551256,0.4267387630325753,0.19438968910635895,0.04201788031828633,1.311489474028349,0.27086819485551256,0.19438968910635895,true,12
development_model_3,joint_unit_0450,S1_no_contact,matched_wrong_vector,0.2987591670613667,0.2342052619136095,0.5293749926220169,0.18261043537101418,0.06494894209906295,2.441849373281002,0.2987591670613667,0.18261043537101418,true,12
development_model_3,joint_unit_0451,S1_no_contact,matched_wrong_vector,0.3230278437707252,0.138787100982417,0.4167126716635851,0.2135680947091153,0.08590590184375357,4.162187501788139,0.3230278437707252,0.2135680947091153,true,12
development_model_3,joint_unit_0453,S1_no_contact,matched_wrong_vector,0.10381879140794271,0.07342452041923697,0.19563322435009842,0.12961065395419125,0.04402860996622124,4.8048824071884155,0.10381879140794271,0.12961065395419125,true,12
development_model_3,joint_unit_0457,S1_no_contact,matched_wrong_vector,0.05433285965547895,0.2508883608542599,0.2773929643290775,0.13192226735738546,0.04438318738514753,4.17739562690258,0.2508883608542599,0.13192226735738546,true,12
development_model_3,joint_unit_0458,S1_no_contact,matched_wrong_vector,0.39458313017516167,0.41957786989767715,0.6733048193700027,0.33116187767543104,0.02663765095905979,5.905644968152046,0.41957786989767715,0.33116187767543104,false,12
development_model_3,joint_unit_0459,S1_no_contact,matched_wrong_vector,0.33560875583962557,0.25515309152076043,0.5111084284102798,0.23439636136903708,0.03546496122711145,3.5448919981718063,0.33560875583962557,0.23439636136903708,true,12
development_model_3,joint_unit_0461,S1_no_contact,matched_wrong_vector,0.15030201689277067,0.03569627743670741,0.1963182019563545,0.11556323323882535,0.012712677288967956,8.593565225601196,0.15030201689277067,0.11556323323882535,true,12
development_model_3,joint_unit_0462,S1_no_contact,matched_wrong_vector,0.441835655057046,0.34743449880271937,0.8156232337716516,0.26676743330697134,0.09016887039837418,3.213007003068924,0.441835655057046,0.26676743330697134,false,12
development_model_3,joint_unit_0463,S1_no_contact,matched_wrong_vector,0.17959059207103298,0.06487828953728583,0.2829779697695008,0.11227068129191356,0.05371071201089675,3.187231346964836,0.17959059207103298,0.11227068129191356,true,12
development_model_3,joint_unit_0464,S1_no_contact,matched_wrong_vector,0.4659180161080142,0.3669251018875047,0.7545943065441372,0.3249979960139833,0.03990724433630769,5.097748339176178,0.4659180161080142,0.3249979960139833,false,12
development_model_3,joint_unit_0466,S1_no_contact,matched_wrong_vector,0.22457688442414378,0.2925895475950096,0.3793077904629449,0.2072014815881537,0.03816962205691192,1.981217972934246,0.2925895475950096,0.2072014815881537,true,12
development_model_3,joint_unit_0467,S1_no_contact,matched_wrong_vector,0.2968159002769953,0.1850606317224619,0.40196388878239764,0.22450071954088763,0.1164213630148159,4.331935942173004,0.2968159002769953,0.22450071954088763,true,12
development_model_3,joint_unit_0468,S1_no_contact,matched_wrong_vector,0.0230615584630318,0.05281365244870841,0.05702803272120508,0.04805948170516761,0.05085646636547908,3.9350662380456924,0.05281365244870841,0.04805948170516761,true,12
development_model_3,joint_unit_0469,S1_no_contact,matched_wrong_vector,0.6271555433512744,0.49737397098238456,1.0286694519646387,0.43344578224514735,0.08912326094882439,10.419640690088272,0.6271555433512744,0.43344578224514735,false,12
development_model_3,joint_unit_0472,S1_no_contact,matched_wrong_vector,0.22256268582730457,0.44540570596887996,0.4677319810593432,0.3130299848097954,0.055085084676379424,2.6147952303290367,0.44540570596887996,0.3130299848097954,false,12
development_model_3,joint_unit_0474,S1_no_contact,matched_wrong_vector,0.13166883064344537,0.2880515246992226,0.3452986320872086,0.18595628748132664,0.02471147402889434,3.7897683680057526,0.2880515246992226,0.18595628748132664,true,12
development_model_3,joint_unit_0475,S1_no_contact,matched_wrong_vector,0.04172915621455655,0.22132323296020887,0.3074413240253345,0.12766295072822242,0.0683598541975754,3.7990663200616837,0.22132323296020887,0.12766295072822242,true,12
development_model_3,joint_unit_0478,S1_no_contact,matched_wrong_vector,0.21701282735452404,0.03297170006227527,0.30439939844382236,0.13466963350583486,0.027054196174392676,6.044283509254456,0.21701282735452404,0.13466963350583486,true,12
development_model_3,joint_unit_0480,S1_no_contact,matched_wrong_vector,0.18879394714282666,0.2233845346392797,0.2957907797450008,0.18310339677464746,0.02535115861835062,1.779804565012455,0.2233845346392797,0.18310339677464746,true,12
development_model_3,joint_unit_0482,S1_no_contact,matched_wrong_vector,0.016981007717006027,0.023755678680152336,0.08388379793443329,0.06556497629407602,0.084175118616366,4.178350418806076,0.023755678680152336,0.06556497629407602,true,12
