public_unit_id,family,seed,route,edited_object,delta_vx,delta_vy,M1,joint_pass,anchor_rmse,k1_rmse,t19_rmse
joint-fc2b76f0772372bf8c3c,M1,291302,single_only_addressable,1,-0.1320015236735344,0.0660007618367672,0.14236355900313283,true,0.02610676014681811,0.027922718496186206,0.07669891993432632
joint-fe2aefddb9b7745686ad,M1,291302,single_only_addressable,1,-0.0660007618367672,0.0660007618367672,0.1118167822033942,true,0.05104914528140838,0.034432336087790616,0.1395667197459668
joint-8b6ff975d45da97a4933,M1,291302,single_only_addressable,1,0.1320015236735344,-0.1320015236735344,0.2412109772406252,true,0.03263956148345005,0.03050378130599825,0.07917668677812202
joint-175e17d0ef9573bac40e,M1,291302,single_only_addressable,0,-0.1320015236735344,0.1320015236735344,0.1828750946463402,true,0.027672739794881853,0.03650459923021079,0.09890632690259002
joint-a3d06b9cb0966439eddd,M1,291302,single_only_addressable,1,0.0660007618367672,0.1320015236735344,0.12319352633461435,true,0.023815836232369065,0.026379576429874232,0.12148934323294128
joint-04c90cd2b55e51d7395c,M1,291302,single_only_addressable,0,0.0660007618367672,-0.1320015236735344,0.12219563333361265,true,0.026494165783005275,0.04065332183121069,0.1474279474170962
joint-03d19206c4766692b70a,M1,291302,single_only_addressable,0,-0.0660007618367672,0.0660007618367672,0.09644327005191101,true,0.016686483646193646,0.020654339454876415,0.05643457954730817
joint-f3533a47857412ee6574,M1,291302,single_only_addressable,1,-0.0660007618367672,-0.0660007618367672,0.013415110726882907,true,0.011531099849100612,0.011565359141969793,0.01527332145711409
joint-19e423cc276169fd1073,M1,291302,single_only_addressable,1,0.1320015236735344,0.0660007618367672,0.17686718814376273,true,0.0269031946853346,0.024214182354872372,0.09862317755574501
joint-ff96f3eeddc533681410,M1,291302,single_only_addressable,0,-0.1320015236735344,0.0660007618367672,0.1507818177136797,true,0.035247174695232544,0.039986601985384805,0.12587582254620747
joint-c4e21270ec4d0d7be262,M1,291302,single_only_addressable,0,-0.0660007618367672,0.1320015236735344,0.19951657482988275,true,0.03152426062151682,0.033127971028009295,0.09393282935343668
joint-f3c2aa3445150de38445,M1,291302,single_only_addressable,1,-0.0660007618367672,-0.1320015236735344,0.10748754023338598,true,0.021319993384971165,0.018974039315355386,0.06079238613491448
joint-9b1bd063fe31242ee1d4,M1,291302,single_only_addressable,0,-0.1320015236735344,0.0660007618367672,0.15026130271799673,true,0.02385466937797681,0.030081123338059367,0.08506885494357234
joint-dc07119105a4b0f17fef,M1,291302,single_only_addressable,0,-0.1320015236735344,-0.1320015236735344,0.05829494899206185,true,0.012161587956303444,0.01908607969005264,0.015107621722106853
joint-e62d176dd1f3b78034aa,M1,291302,single_only_addressable,1,0.0660007618367672,0.0660007618367672,0.10745042729777594,true,0.023440984624804748,0.0196456998356324,0.05216389402541542
joint-7fb044ff7f38057c2332,M1,291302,single_only_addressable,1,-0.0660007618367672,-0.1320015236735344,0.12541113579924446,true,0.02338568509756447,0.018184565433090345,0.06893781382165404
joint-86e6ae730070eee6983b,M1,291302,single_only_addressable,1,0.0660007618367672,-0.0660007618367672,0.11592585040501803,false,0.08445362161989133,0.06401945414561148,0.17358614726607355
joint-9a206f19112cd83d8451,M1,291302,single_only_addressable,1,0.1320015236735344,-0.1320015236735344,0.10731259827572379,true,0.02102591138512356,0.021294975316527177,0.0520119157437775
joint-d9be6f5c2e8106f0264a,M1,291302,single_only_addressable,1,0.0660007618367672,-0.0660007618367672,0.05449715121340797,true,0.012665222098193624,0.01250768934984315,0.03150783641442421
joint-6f8a92fc80c9c4920afe,M1,291302,single_only_addressable,1,0.0660007618367672,-0.0660007618367672,0.12322313290824156,true,0.027582854575981048,0.029479690519875916,0.14020741182472446
joint-2a31fc646bfd539046d7,M1,291302,single_only_addressable,1,0.0660007618367672,0.1320015236735344,0.3008576472446165,false,0.08266659529653031,0.079200280820362,0.24252825520981458
joint-e8ed568644109d3c68dd,M1,291302,single_only_addressable,1,0.0660007618367672,0.0660007618367672,0.0766456123094525,true,0.01860922291160168,0.01776622164074152,0.041218615679063396
joint-310c46903e1f1c1d5a60,M1,291302,single_only_addressable,0,-0.0660007618367672,0.0660007618367672,0.12061338390283195,true,0.0185304945830019,0.022239978302721078,0.06065132201237315
joint-1285f64b5ffdc41a435d,M1,291302,single_only_addressable,0,0.0660007618367672,0.0660007618367672,0.08889584746395773,false,0.07840388350431554,0.06044273170313496,0.13969880044214258
joint-70524fe1e7c2518c400a,M1,291302,single_only_addressable,1,0.0660007618367672,-0.1320015236735344,0.11504468507278547,true,0.019541937556154465,0.019768291814077146,0.03764858342893228
joint-41ae71c0e6c6d51506eb,M1,291302,single_only_addressable,0,-0.0660007618367672,-0.0660007618367672,0.16222850565563265,true,0.05822511065894806,0.04897560011613297,0.12005357911899683
joint-f2a415df92c5dbd9c22b,M1,291302,single_only_addressable,1,0.1320015236735344,0.0660007618367672,0.1295992636456782,true,0.02851275210579101,0.02204061762225794,0.061911236138359645
